=== FFI (Foreign Function & Memory API) Hits ===
Format: callerSig | lib | symbol | mechanism | jar
<org.apache.tomcat.util.openssl.openssl_h: java.lang.foreign.MemorySegment d2i_OCSP_RESPONSE(java.lang.foreign.MemorySegment,java.lang.foreign.MemorySegment,long)> | ssl | d2i_OCSP_RESPONSE | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: java.lang.foreign.MemorySegment PEM_read_bio_ECPKParameters(java.lang.foreign.MemorySegment,java.lang.foreign.MemorySegment,java.lang.foreign.MemorySegment,java.lang.foreign.MemorySegment)> | ssl | PEM_read_bio_ECPKParameters | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: int SSL_renegotiate(java.lang.foreign.MemorySegment)> | ssl | SSL_renegotiate | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: long SSL_set_options(java.lang.foreign.MemorySegment,long)> | ssl | SSL_set_options | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: java.lang.foreign.MemorySegment OCSP_REQUEST_new()> | ssl | OCSP_REQUEST_new | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: int X509_get_ext_by_NID(java.lang.foreign.MemorySegment,int,int)> | ssl | X509_get_ext_by_NID | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: java.lang.foreign.MemorySegment BN_get_rfc3526_prime_6144(java.lang.foreign.MemorySegment)> | ssl | BN_get_rfc3526_prime_6144 | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: int SSL_get_shutdown(java.lang.foreign.MemorySegment)> | ssl | SSL_get_shutdown | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: int PKCS12_verify_mac(java.lang.foreign.MemorySegment,java.lang.foreign.MemorySegment,int)> | ssl | PKCS12_verify_mac | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: java.lang.foreign.MemorySegment X509_LOOKUP_hash_dir()> | ssl | X509_LOOKUP_hash_dir | downcallHandle | tomcat-coyote-ffm.jar
<org.apache.tomcat.util.openssl.openssl_h: long SSL_CTX_set_options(java.lang.foreign.MemorySegment,long)> | ssl | SSL_CTX_set_options | downcallHandle | tomcat-coyote-ffm.jar
